@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,17,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute isAttack {normal,attack}

@data
OTH,66,3222,52,normal
S1,286,1826,100,normal
SF,946,1314,100,normal
SF,880,2143,100,normal
SF,946,2952,100,normal
SF,946,2172,100,normal
OTH,66,4982,40,normal
SF,946,2273,100,normal
SF,946,1979,100,normal
OTH,66,5183,37,normal
OTH,66,3606,63,normal
S1,880,3504,100,normal
SF,946,4133,100,normal
OTH,66,2781,46,normal
OTH,66,5494,80,normal
SF,1024,3827,58,normal
SF,946,2241,100,normal
SF,946,3885,100,normal
SF,880,2912,100,normal
OTH,66,3117,56,normal
OTH,78,5831,63,normal
OTH,66,5472,93,normal
OTH,66,4853,45,normal
SF,946,2012,100,normal
OTH,66,3010,41,normal
SF,946,3895,98,normal
SF,946,2507,94,normal
OTH,66,5350,92,normal
OTH,66,3025,46,normal
OTH,66,3318,61,normal
OTH,66,4423,46,normal
SF,946,2299,100,normal
OTH,66,3828,27,normal
SF,946,2830,100,normal
SF,946,2075,100,normal
S1,286,2338,100,normal
SF,1024,3059,76,normal
OTH,66,2483,52,normal
SF,946,2429,98,normal
SF,946,2399,100,normal
OTH,66,3902,47,normal
SF,946,2779,100,normal
SF,946,3955,100,normal
OTH,66,3284,41,normal
OTH,66,2852,46,normal
OTH,66,3373,52,normal
OTH,78,5697,51,normal
SF,946,2301,100,normal
OTH,66,4975,48,normal
OTH,66,3734,100,normal
OTH,66,2980,50,normal
SF,946,2972,100,normal
OTH,66,3451,40,normal
SF,946,2235,100,normal
SF,946,1828,100,normal
OTH,66,2497,52,normal
SF,946,2161,100,normal
SF,946,2215,100,normal
SF,946,2183,100,normal
OTH,66,3840,42,normal
OTH,66,2207,56,normal
RSTR,1768,1549,97,normal
OTH,66,5196,76,normal
SF,946,2527,100,normal
S1,140,2660,100,normal
SF,946,2890,100,normal
OTH,66,2194,56,normal
OTH,66,5739,59,normal
SF,946,2131,100,normal
SF,880,2969,63,normal
OTH,66,3336,35,normal
SF,946,3119,89,normal
SF,880,1560,100,normal
SF,946,3118,76,normal
SF,946,274,100,normal
S1,286,2769,100,normal
OTH,66,5087,66,normal
SF,946,905,100,normal
OTH,66,5786,41,normal
SF,946,1982,100,normal
SF,946,1116,100,normal
SF,946,3932,69,normal
SF,946,3997,97,normal
SF,946,2046,100,normal
SF,946,3324,100,normal
OTH,66,3577,56,normal
SF,946,2133,100,normal
SF,946,3035,100,normal
SF,946,2047,100,normal
SF,946,3116,100,normal
OTH,66,6269,44,normal
SF,946,752,100,normal
SF,946,2266,100,normal
SF,946,3879,100,normal
SF,946,3517,100,normal
SF,946,2981,63,normal
SF,946,919,100,normal
SF,946,1851,100,normal
OTH,66,4439,48,normal
SF,946,1195,100,normal
SF,946,1860,100,normal
OTH,66,2179,38,normal
OTH,66,3005,46,normal
OTH,146,2589,67,normal
SF,946,2212,100,normal
OTH,66,2804,60,normal
OTH,66,2929,52,normal
OTH,66,3769,100,normal
OTH,66,2498,52,normal
SF,1120,1859,94,normal
SF,946,3915,69,normal
SF,946,2065,100,normal
SF,946,2516,100,normal
SF,880,5751,59,normal
SF,946,2418,100,normal
OTH,66,3553,49,normal
SF,946,2467,100,normal
SF,946,1942,100,normal
S3,880,3290,100,normal
S1,140,2590,100,normal
SF,946,3988,100,normal
SF,946,2308,100,normal
SF,946,1513,95,normal
SF,734,3577,54,normal
SF,946,2150,100,normal
SF,880,2181,98,normal
OTH,66,3845,46,normal
SF,946,2111,100,normal
SF,946,3881,100,normal
OTH,66,4063,32,normal
OTH,66,3557,52,normal
OTH,66,3125,33,normal
OTH,66,4353,80,normal
OTH,66,3293,45,normal
SF,946,2770,98,normal
OTH,66,5109,49,normal
SF,946,2123,86,normal
OTH,66,2193,55,normal
SF,880,2274,100,normal
OTH,66,5733,41,normal
SF,946,3318,100,normal
OTH,66,4926,37,normal
SF,946,2078,100,normal
SF,946,3948,100,normal
SF,946,1861,92,normal
SF,946,1867,100,normal
SF,946,2192,100,normal
OTH,66,4129,100,normal
OTH,66,6303,50,normal
SF,946,3509,100,normal
SF,946,2240,100,normal
SF,946,3305,92,normal
SF,946,3915,100,normal
OTH,66,3143,39,normal
SF,946,1974,100,normal
SF,946,3265,94,normal
SF,946,2275,100,normal
OTH,66,5666,51,normal
OTH,66,2553,39,normal
OTH,66,2979,50,normal
S1,286,3052,100,normal
OTH,78,3130,94,normal
SF,946,2079,100,normal
SF,946,3369,100,normal
SF,946,4044,100,normal
OTH,66,5845,42,normal
SF,946,1950,91,normal
SF,946,460,100,normal
SF,946,2066,100,normal
OTH,66,4954,51,normal
SF,946,4046,100,normal
OTH,66,4151,88,normal
SF,946,3221,98,normal
OTH,66,1948,46,normal
SF,946,1853,100,normal
SF,946,2094,100,normal
SF,946,1953,97,normal
SF,946,4008,100,normal
SF,946,3335,100,normal
S2,734,2373,100,normal
SF,880,3072,65,normal
OTH,66,4967,52,normal
OTH,66,2871,48,normal
OTH,66,3625,42,normal
SF,946,3718,100,normal
SF,946,2858,100,normal
SF,946,2172,98,normal
OTH,66,3547,53,normal
SF,946,45,45,normal
OTH,66,5119,44,normal
SF,946,2678,95,normal
SF,946,3927,100,normal
OTH,66,5257,33,normal
OTH,66,3790,100,normal
OTH,66,2946,55,normal
OTH,78,1570,100,normal
OTH,66,4116,100,normal
SF,946,1454,100,normal
SF,946,2721,100,normal
SF,946,2150,100,normal
SF,946,2134,100,normal
S2,352,2905,100,normal
OTH,66,6035,36,normal
SF,946,1235,100,normal
SF,946,2557,100,normal
OTH,66,5106,46,normal
OTH,66,2797,50,normal
OTH,66,4983,46,normal
OTH,66,3102,46,normal
SF,946,2091,100,normal
SF,946,3515,100,normal
OTH,66,3727,52,normal
OTH,78,1865,100,normal
SF,946,4123,100,normal
OTH,66,3226,47,normal
OTH,66,3307,44,normal
OTH,66,2650,47,normal
OTH,66,5893,42,normal
OTH,78,5898,45,normal
SF,946,2336,100,normal
OTH,78,3933,9,normal
OTH,66,6327,11,normal
SF,946,1996,100,normal
SF,946,1879,100,normal
OTH,146,4916,48,normal
S1,286,2000,100,normal
OTH,66,2900,43,normal
SF,946,1994,100,normal
SF,1024,3066,71,normal
OTH,66,5825,45,normal
OTH,66,5183,51,normal
SF,946,1956,100,normal
RSTR,946,3014,100,normal
OTH,66,5925,45,normal
SF,946,1920,96,normal
SF,946,2171,100,normal
OTH,66,4417,43,normal
OTH,66,4902,45,normal
OTH,66,2594,71,normal
OTH,146,4937,60,normal
SF,946,2138,100,normal
OTH,66,2708,46,normal
SF,946,3294,70,normal
OTH,66,5071,48,normal
OTH,78,5722,48,normal
OTH,66,2974,43,normal
OTH,146,5144,47,normal
SF,946,4142,100,normal
S3,880,2008,100,normal
OTH,66,3356,51,normal
SF,1012,1569,100,normal
SF,946,2140,100,normal
SF,946,2269,100,normal
OTH,66,5264,90,normal
OTH,146,5047,51,normal
OTH,66,3406,52,normal
SF,946,2821,100,normal
SF,946,2441,100,normal
SF,946,2091,100,normal
SF,880,2191,100,normal
SF,946,2970,100,normal
OTH,66,5260,88,normal
SF,946,2509,94,normal
SF,946,2229,100,normal
SF,946,4047,100,normal
OTH,146,2846,78,normal
SF,946,3254,75,normal
OTH,66,2897,21,normal
SF,946,2072,100,normal
SF,1120,1868,99,normal
SF,946,2968,100,normal
SF,946,1964,100,normal
SF,946,2206,100,normal
OTH,66,3240,36,normal
SF,1120,1850,94,normal
OTH,66,4899,43,normal
SF,946,2262,100,normal
OTH,66,3021,30,normal
OTH,66,4693,54,normal
SF,1024,2109,99,normal
SF,946,988,100,normal
SF,946,591,100,normal
SF,946,2180,98,normal
SF,880,3321,70,normal
SF,946,1853,98,normal
OTH,66,2756,49,normal
SF,946,3823,50,normal
SF,946,4028,100,normal
SF,946,3021,100,normal
SF,946,2076,100,normal
OTH,66,3052,79,normal
OTH,66,5845,52,normal
SF,1042,1712,100,normal
SF,946,1910,92,normal
OTH,66,4787,45,normal
SF,946,2949,100,normal
OTH,66,2910,47,normal
OTH,66,5170,40,normal
OTH,78,5964,39,normal
OTH,66,2877,38,normal
OTH,66,3499,43,normal
SF,880,2863,35,normal
SF,946,1956,100,normal
SF,880,5915,51,normal
SF,946,2685,100,normal
SF,946,2115,100,normal
OTH,66,3265,40,normal
SF,946,589,100,normal
SF,880,3115,85,normal
OTH,66,5064,27,normal
SF,946,2062,90,normal
OTH,66,5610,38,normal
SF,946,4049,100,normal
OTH,66,3023,53,normal
SF,946,1856,100,normal
SF,946,3682,100,normal
SF,946,74,74,normal
SF,880,1834,100,normal
OTH,66,2950,46,normal
OTH,66,3487,57,normal
SF,946,1837,100,normal
S3,880,3434,100,normal
SF,1120,2154,100,normal
SF,946,2149,100,normal
SF,946,1205,100,normal
OTH,146,3550,53,normal
OTH,66,3554,49,normal
S2,418,2289,100,normal
OTH,66,3212,43,normal
OTH,66,2828,49,normal
OTH,66,4720,55,normal
SF,946,3504,100,normal
SF,946,563,97,normal
SF,946,2168,100,normal
OTH,66,2939,41,normal
OTH,66,5158,55,normal
OTH,66,3332,48,normal
SF,946,3899,100,normal
SF,946,4081,100,normal
SF,946,1856,100,normal
SF,946,2616,100,normal
SF,946,1662,100,normal
OTH,66,2647,47,normal
SF,946,456,100,normal
OTH,78,5650,50,normal
SF,880,1887,100,normal
OTH,66,3306,55,normal
OTH,66,3499,52,normal
OTH,66,3660,41,normal
OTH,66,3194,45,normal
OTH,66,3714,91,normal
OTH,66,5925,54,normal
SF,946,2297,100,normal
SF,946,3021,100,normal
OTH,66,3478,40,normal
OTH,66,5751,47,normal
OTH,66,3193,46,normal
OTH,66,6027,40,normal
SF,946,2300,100,normal
SF,880,3162,100,normal
SF,946,2217,100,normal
OTH,66,3785,45,normal
SF,880,2519,100,normal
SF,1024,3044,79,normal
OTH,66,3564,54,normal
SF,946,2033,100,normal
S3,550,3514,100,normal
S3,892,3199,100,normal
OTH,66,5719,52,normal
SF,946,1469,100,normal
OTH,146,2814,66,normal
OTH,66,6244,47,normal
SF,946,2116,100,normal
OTH,66,3294,44,normal
OTH,66,3019,40,normal
SF,946,3892,100,normal
OTH,66,4871,54,normal
SF,814,5787,55,normal
SF,946,1239,100,normal
OTH,66,4783,41,normal
SF,946,2046,100,normal
OTH,66,5312,70,normal
SF,946,2560,100,normal
SF,946,1731,100,normal
SF,946,4033,100,normal
SF,946,266,100,normal
SF,946,2277,100,normal
OTH,66,3172,49,normal
SF,430,3064,82,normal
SF,946,2224,100,normal
SF,946,1533,95,normal
SF,880,2234,100,normal
SF,1024,3329,92,normal
SF,946,1742,100,normal
OTH,66,4118,65,normal
OTH,66,4621,42,normal
OTH,66,3830,41,normal
SF,946,2078,88,normal
OTH,66,4139,88,normal
OTH,66,5060,47,normal
S3,748,2932,100,normal
OTH,66,3876,54,normal
SF,946,1060,100,normal
SF,946,1939,100,normal
S2,734,3462,100,normal
SF,946,1915,100,normal
OTH,66,4952,44,normal
SF,1024,3029,91,normal
OTH,78,2407,85,normal
OTH,66,2382,85,normal
SF,946,2141,100,normal
OTH,66,4081,99,normal
SF,946,2449,100,normal
OTH,66,5868,50,normal
OTH,66,3335,45,normal
SF,946,2525,100,normal
SF,946,2316,100,normal
SF,880,4030,100,normal
OTH,66,4505,47,normal
OTH,66,6144,52,normal
SF,946,2566,100,normal
SF,946,3347,100,normal
OTH,66,3702,91,normal
OTH,78,5891,46,normal
SF,946,1192,100,normal
SF,946,518,97,normal
SF,946,2440,100,normal
OTH,66,4052,32,normal
SF,946,4010,98,normal
SF,946,2699,100,normal
OTH,66,4154,88,normal
SF,946,2142,100,normal
SF,946,3882,100,normal
OTH,66,5671,17,normal
OTH,66,1890,46,normal
SF,946,3872,75,normal
SF,946,972,100,normal
SF,946,1509,100,normal
SF,946,3990,100,normal
OTH,66,2920,53,normal
SF,946,2364,100,normal
SF,946,1462,100,normal
SF,946,2167,100,normal
SF,946,1152,100,normal
SF,946,2151,100,normal
SF,946,2485,100,normal
SF,880,2158,86,normal
OTH,66,2734,51,normal
OTH,66,5880,55,normal
SF,880,1943,100,normal
SF,946,2102,100,normal
OTH,66,5517,100,normal
OTH,146,2586,69,normal
OTH,66,3586,59,normal
SF,946,1881,100,normal
SF,946,4000,98,normal
SF,1120,2065,100,normal
SF,946,1877,100,normal
OTH,66,3832,31,normal
OTH,66,3361,49,normal
OTH,146,4296,46,normal
SF,946,3517,100,normal
OTH,66,1883,39,normal
OTH,66,5163,42,normal
OTH,66,4487,49,normal
OTH,66,3157,40,normal
SF,1024,3014,55,normal
OTH,66,3988,48,normal
SF,946,2202,100,normal
OTH,66,5315,73,normal
SF,946,502,97,normal
SF,946,3874,100,normal
OTH,66,4496,47,normal
OTH,66,2721,46,normal
SF,946,2101,100,normal
SF,946,2700,78,normal
SF,946,2108,100,normal
SF,946,1112,100,normal
SF,946,3953,100,normal
OTH,66,2731,48,normal
SF,1024,3068,69,normal
SF,880,2995,100,normal
SF,946,2815,100,normal
SF,946,3883,100,normal
SF,946,2161,100,normal
SF,946,3211,96,normal
SF,946,2394,100,normal
SF,946,1303,100,normal
SF,946,2453,100,normal
SF,1120,2077,100,normal
SF,946,2223,100,normal
OTH,66,3248,44,normal
OTH,66,3355,52,normal
SF,1012,3259,92,normal
OTH,78,3574,67,normal
SF,946,1929,59,normal
OTH,66,3118,30,normal
SF,946,1883,99,normal
SF,946,3937,42,normal
OTH,66,3019,39,normal
S2,1024,2184,100,normal
SF,946,1922,100,normal
OTH,66,4102,62,normal
SF,946,2642,100,normal
OTH,66,5039,47,normal
OTH,66,4673,53,normal
SF,946,591,100,normal
SF,946,3097,100,normal
SF,946,2325,58,normal
S3,1024,3123,100,normal
OTH,66,4980,38,normal
OTH,66,2113,51,normal
OTH,66,3064,83,normal
OTH,66,5636,40,normal
SF,946,2229,100,normal
SF,946,2191,98,normal
OTH,66,2917,47,normal
SF,946,2520,100,normal
SF,946,2541,100,normal
OTH,66,4943,43,normal
OTH,66,2918,48,normal
SF,880,2091,100,normal
OTH,66,4182,45,normal
SF,1120,2259,100,normal
SF,946,2614,100,normal
OTH,66,4497,47,normal
SF,946,3168,100,normal
SF,958,2435,86,normal
SF,946,2706,89,normal
OTH,66,2824,50,normal
SF,946,636,100,normal
S1,74,2688,100,normal
OTH,66,3160,47,normal
OTH,66,5842,50,normal
SF,946,3181,100,normal
OTH,66,2962,46,normal
SF,946,2569,100,normal
SF,946,2003,100,normal
OTH,66,3337,74,normal
SF,946,3051,98,normal
OTH,146,2831,68,normal
OTH,66,2529,44,normal
SF,946,4042,100,normal
SF,1024,3084,90,normal
OTH,66,3402,51,normal
SF,946,2353,88,normal
SF,946,3452,65,normal
OTH,66,5952,50,normal
SF,880,2246,100,normal
SF,946,3876,100,normal
SF,946,1344,100,normal
SF,946,2549,100,normal
SF,946,1932,100,normal
SF,946,3944,100,normal
SF,946,2182,98,normal
OTH,66,3272,49,normal
OTH,66,4674,53,normal
OTH,66,5914,44,normal
OTH,66,3498,51,normal
SF,880,566,97,normal
SF,946,2435,98,normal
OTH,146,5678,21,normal
OTH,66,2884,42,normal
SF,946,3338,91,normal
SF,946,1747,100,normal
SF,946,3372,100,normal
OTH,66,2671,52,normal
OTH,66,1495,69,normal
OTH,66,3291,44,normal
OTH,66,3153,56,normal
SF,946,2218,100,normal
OTH,66,2999,49,normal
SF,946,2386,100,normal
OTH,66,3159,57,normal
OTH,66,5058,42,normal
OTH,66,3525,48,normal
OTH,66,4960,38,normal
SF,946,3083,100,normal
OTH,66,2840,55,normal
SF,1024,3178,87,normal
SF,946,1969,100,normal
OTH,66,5129,69,normal
OTH,66,3283,46,normal
SF,1120,1512,100,normal
OTH,66,5246,72,normal
OTH,66,3287,34,normal
OTH,66,3905,80,normal
OTH,66,3849,45,normal
SF,946,1998,100,normal
OTH,66,2729,48,normal
OTH,146,4862,46,normal
OTH,66,2700,45,normal
SF,946,2211,100,normal
SF,946,5668,72,normal
S1,74,2677,100,normal
SF,946,467,100,normal
OTH,66,5364,96,normal
OTH,78,3393,99,normal
SF,946,2081,88,normal
SF,946,1835,100,normal
OTH,66,2985,71,normal
SF,946,3886,100,normal
OTH,66,2344,68,normal
SF,946,2150,100,normal
SF,1020,1444,100,normal
SF,946,3513,100,normal
OTH,66,2431,52,normal
SF,946,2109,100,normal
OTH,66,5880,48,normal
SF,946,2435,100,normal
OTH,146,4911,48,normal
SF,1012,2266,100,normal
SF,982,1655,100,normal
OTH,66,4961,54,normal
OTH,66,3057,55,normal
SF,946,3010,100,normal
OTH,66,2670,50,normal
OTH,66,4837,57,normal
SF,946,1749,100,normal
OTH,66,3397,46,normal
OTH,146,5154,51,normal
OTH,66,5787,13,normal
OTH,78,5743,65,normal
SF,946,899,99,normal
SF,1024,2726,72,normal
SF,946,1019,100,normal
SF,946,3346,93,normal
SF,352,3172,87,normal
SF,946,2913,98,normal
SF,946,3296,100,normal
SF,946,3533,100,normal
OTH,146,2498,37,normal
SF,946,2255,100,normal
SF,946,2205,100,normal
SF,946,2149,100,normal
SF,946,1429,100,normal
SF,946,2860,100,normal
OTH,66,5778,43,normal
OTH,66,4955,57,normal
SF,946,2243,100,normal
OTH,66,3140,39,normal
OTH,78,5813,50,normal
S3,880,1674,100,normal
SF,1024,3832,54,normal
OTH,66,4935,45,normal
SF,946,3062,24,normal
OTH,78,5701,45,normal
SF,946,2599,100,normal
SF,946,2968,63,normal
SF,880,3348,93,normal
S1,218,2462,100,normal
OTH,66,3430,47,normal
OTH,66,3142,50,normal
OTH,66,4051,99,normal
OTH,78,5515,81,normal
SF,946,1939,100,normal
OTH,66,3286,69,normal
SF,946,3042,88,normal
OTH,66,3483,60,normal
OTH,66,3201,49,normal
OTH,78,4813,44,normal
OTH,146,2521,44,normal
OTH,66,2494,34,normal
SF,946,2222,100,normal
OTH,146,2618,41,normal
SF,1120,2613,100,normal
OTH,66,4192,45,normal
SF,946,2225,100,normal
S1,74,2830,100,normal
SF,946,2515,94,normal
SF,946,3521,100,normal
SF,946,1525,100,normal
SF,946,2222,100,normal
SF,880,2201,100,normal
SF,946,2228,100,normal
OTH,66,2903,49,normal
SF,946,1899,100,normal
SF,946,4252,73,normal
SF,946,2155,98,normal
SF,946,3998,95,normal
SF,946,1140,100,normal
SF,1024,2725,72,normal
SF,946,2012,100,normal
OTH,66,2883,45,normal
SF,946,4468,55,normal
OTH,66,3848,44,normal
OTH,66,3031,58,normal
SF,946,2250,100,normal
SF,946,3348,96,normal
OTH,66,3393,42,normal
OTH,66,4874,57,normal
OTH,66,4042,44,normal
SF,946,2062,100,normal
SF,946,3916,69,normal
SF,946,2157,100,normal
SF,946,2853,63,normal
OTH,66,6211,52,normal
OTH,66,3146,41,normal
S1,286,1611,100,normal
SF,946,2026,100,normal
OTH,66,3299,36,normal
SF,946,2189,41,normal
OTH,66,2953,38,normal
SF,946,1827,100,normal
SF,946,1931,100,normal
SF,946,2050,100,normal
SF,946,2130,100,normal
OTH,66,3343,49,normal
SF,1012,2040,100,normal
OTH,66,2726,42,normal
SF,946,1940,100,normal
OTH,66,4974,28,normal
SF,946,2390,98,normal
OTH,66,3393,52,normal
OTH,66,2830,45,normal
SF,946,1851,100,normal
SF,946,2071,100,normal
SF,1078,1182,100,normal
OTH,66,6119,38,normal
SF,946,2044,100,normal
OTH,66,3883,70,normal
OTH,78,4238,95,normal
OTH,66,4992,40,normal
OTH,66,4886,52,normal
S1,286,2736,100,normal
OTH,66,3954,58,normal
SF,1024,3299,75,normal
SF,1120,2254,100,normal
SF,880,2311,100,normal
S3,880,3098,100,normal
SF,946,1140,100,normal
SF,946,1906,92,normal
SF,880,2307,100,normal
OTH,66,2133,48,normal
SF,946,3889,98,normal
OTH,78,5592,75,normal
OTH,66,2925,29,normal
OTH,146,2598,69,normal
OTH,66,2016,47,normal
SF,946,2358,63,normal
OTH,66,3076,43,normal
OTH,66,2506,50,normal
SF,946,2282,100,normal
OTH,78,5702,45,normal
OTH,66,4954,46,normal
SF,946,3207,100,normal
SF,946,2386,100,normal
SF,946,2367,100,normal
SF,946,2989,98,normal
OTH,66,5178,58,normal
OTH,66,2719,52,normal
OTH,66,5330,86,normal
SF,946,2205,100,normal
SF,946,3295,71,normal
SF,880,2400,85,normal
SF,946,592,100,normal
SF,946,2012,100,normal
SF,1120,591,100,normal
OTH,66,3197,49,normal
SF,946,2790,98,normal
SF,946,795,100,normal
SF,946,2492,100,normal
SF,946,1948,100,normal
SF,946,3349,100,normal
OTH,66,6272,47,normal
OTH,66,3330,44,normal
SF,946,3026,68,normal
SF,1042,2321,100,normal
SF,1120,2619,100,normal
OTH,66,5859,52,normal
SF,946,1834,100,normal
OTH,66,4301,51,normal
SF,946,1885,100,normal
SF,734,3015,47,normal
SF,946,2316,100,normal
OTH,66,3615,38,normal
OTH,66,3076,43,normal
SF,946,1865,94,normal
OTH,66,4913,78,normal
OTH,66,4416,43,normal
SF,946,4231,95,normal
OTH,66,4746,42,normal
SF,946,2531,100,normal
OTH,66,5982,32,normal
OTH,66,2864,50,normal
SF,946,3539,100,normal
S2,1024,3615,100,normal
SF,946,1973,100,normal
SF,946,2337,78,normal
OTH,66,5109,42,normal
OTH,66,3268,35,normal
OTH,66,5784,41,normal
SF,946,3428,95,normal
SF,946,2778,100,normal
S1,140,2986,100,normal
OTH,66,4679,32,normal
OTH,66,2999,45,normal
SF,946,2285,100,normal
SF,1024,2786,89,normal
OTH,66,3358,48,normal
SF,946,1479,100,normal
OTH,66,2905,49,normal
OTH,66,3850,49,normal
OTH,66,2766,47,normal
SF,1024,3017,55,normal
OTH,66,3945,18,normal
OTH,66,2142,52,normal
SF,946,2021,86,normal
OTH,66,4980,33,normal
OTH,66,5076,25,normal
SF,946,2533,100,normal
OTH,66,4883,48,normal
SF,946,2114,100,normal
OTH,78,5993,50,normal
SF,946,3098,85,normal
OTH,66,5510,100,normal
RSTR,286,3342,100,normal
OTH,146,3316,47,normal
SF,946,1548,100,normal
OTH,66,3185,43,normal
SF,946,1943,100,normal
OTH,146,3535,45,normal
OTH,66,4059,37,normal
OTH,66,5084,42,normal
OTH,66,4937,59,normal
OTH,146,4073,34,normal
SF,946,2413,100,normal
SF,946,2251,100,normal
SF,946,1926,100,normal
OTH,66,5701,31,normal
OTH,66,3261,47,normal
OTH,66,3948,68,normal
OTH,66,5147,49,normal
SF,946,2139,100,normal
SF,880,2043,100,normal
SF,946,1950,99,normal
SF,946,1953,100,normal
SF,946,2249,100,normal
SF,946,2003,100,normal
OTH,66,5943,52,normal
OTH,66,3758,40,normal
S3,286,1757,100,normal
OTH,66,2956,42,normal
OTH,66,6323,51,normal
OTH,66,5023,46,normal
S2,352,2883,100,normal
SF,946,1248,100,normal
SF,946,3356,100,normal
OTH,66,2477,52,normal
SF,1024,2784,89,normal
OTH,66,4441,49,normal
OTH,66,2520,48,normal
SF,946,1866,100,normal
SF,946,1944,100,normal
OTH,66,4742,52,normal
SF,946,2210,100,normal
SF,946,2141,100,normal
OTH,66,3065,40,normal
SF,946,2122,100,normal
OTH,66,5910,53,normal
SF,946,1144,100,normal
SF,946,2119,100,normal
SF,946,2323,47,normal
SF,946,2750,100,normal
OTH,66,3114,83,normal
SF,946,3028,100,normal
S1,286,1665,100,normal
SF,946,2187,100,normal
OTH,66,3069,85,normal
OTH,66,3493,48,normal
SF,946,1583,100,normal
SF,946,2122,100,normal
SF,946,2330,100,normal
S1,140,2264,100,normal
SF,880,2711,78,normal
OTH,66,3383,52,normal
SF,946,2179,98,normal
SF,946,2943,100,normal
SF,946,999,100,normal
OTH,146,3546,52,normal
SF,1048,2034,100,normal
RSTR,1086,1530,90,normal
SF,1024,2780,100,normal
SF,1024,2685,100,normal
SF,946,2533,100,normal
OTH,66,2789,46,normal
SF,946,2321,100,normal
SF,946,2167,99,normal
SF,880,2080,88,normal
SF,946,3088,100,normal
OTH,146,4355,80,normal
OTH,66,3005,56,normal
SF,880,3372,65,normal
OTH,66,5974,42,normal
SF,946,2187,100,normal
SF,946,281,100,normal
OTH,66,5917,64,normal
SF,880,1886,99,normal
SF,946,2753,100,normal
SF,946,3368,100,normal
SF,946,3909,100,normal
SF,880,2621,100,normal
OTH,66,3144,100,normal
SF,1120,1723,100,normal
OTH,66,5463,100,normal
OTH,66,3743,52,normal
OTH,66,5044,46,normal
SF,946,3301,100,normal
SF,946,3345,96,normal
SF,430,3117,86,normal
S3,958,3754,100,normal
OTH,66,4363,48,normal
OTH,66,3868,46,normal
SF,946,2015,100,normal
SF,880,2216,100,normal
OTH,66,5011,47,normal
SF,946,2041,100,normal
OTH,66,3360,50,normal
OTH,66,5902,56,normal
OTH,66,3255,38,normal
OTH,66,2952,42,normal
OTH,66,5891,45,normal
SF,946,2202,100,normal
RSTR,364,1912,100,normal
SF,946,1241,100,normal
OTH,66,3721,50,normal
OTH,66,6276,50,normal
OTH,66,1889,45,normal
OTH,66,4318,53,normal
OTH,66,5082,31,normal
OTH,78,3876,100,normal
SF,352,1912,68,normal
SF,946,2306,100,normal
OTH,66,5909,50,normal
SF,946,1906,100,normal
SF,1024,2214,100,normal
OTH,66,3217,47,normal
