@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,16,18,20-22,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,SF,946,3953,0,100,0,0,0,normal
tcp,OTH,66,2731,0,48,0,0.08,0,normal
tcp,SF,1024,3068,0,69,0,0,0,normal
tcp,SF,880,2995,0,100,0,0,0,normal
tcp,SF,946,2815,0,100,0,0,0,normal
tcp,SF,946,3883,0,100,0,0,0,normal
tcp,SF,946,2161,0,100,0,0,0,normal
tcp,SF,946,3211,0,96,0,0,0,normal
tcp,SF,946,2394,0,100,0,0,0,normal
tcp,SF,946,1303,0,100,0,0,0,normal
tcp,SF,946,2453,0,100,0,0,0,normal
tcp,SF,1120,2077,0,100,0,0,0,normal
tcp,SF,946,2223,0,100,0,0,0,normal
tcp,OTH,66,3248,0,44,0,0.04,0,normal
tcp,OTH,66,3355,0,52,0,0.06,0,normal
tcp,SF,1012,3259,0,92,0,0,0,normal
tcp,OTH,78,3574,0,67,0,0,0,normal
tcp,SF,946,1929,0,59,0,0,0,normal
tcp,OTH,66,3118,0,30,0,0.23,0,normal
tcp,SF,946,1883,0,99,0,0,0,normal
tcp,SF,946,3937,0,42,0,0,0,normal
tcp,OTH,66,3019,0,39,0,0.17,0,normal
tcp,S2,1024,2184,0,100,0,0,0,normal
tcp,SF,946,1922,0,100,0,0,0,normal
tcp,OTH,66,4102,0,62,0,0.08,0,normal
tcp,SF,946,2642,0,100,0,0,0,normal
tcp,OTH,66,5039,0,47,0,0,0,normal
tcp,OTH,66,4673,0,53,0,0.11,0,normal
tcp,SF,946,591,0,100,0,0,0,normal
tcp,SF,946,3097,0,100,0,0,0,normal
tcp,SF,946,2325,0,58,0,0,0,normal
tcp,S3,1024,3123,0,100,0,0,0,normal
tcp,OTH,66,4980,0,38,0,0,0,normal
tcp,OTH,66,2113,0,51,0,0.15,0,normal
tcp,OTH,66,3064,0,83,0,0.02,0,normal
tcp,OTH,66,5636,0,40,0,0.2,0,normal
tcp,SF,946,2229,0,100,0,0,0,normal
tcp,SF,946,2191,0,98,0,0,0,normal
tcp,OTH,66,2917,0,47,0,0.15,0,normal
tcp,SF,946,2520,0,100,0,0,0,normal
tcp,SF,946,2541,0,100,0,0,0,normal
tcp,OTH,66,4943,0,43,0,0.02,0,normal
tcp,OTH,66,2918,0,48,0,0.16,0,normal
tcp,SF,880,2091,0,100,0,0,0,normal
tcp,OTH,66,4182,0,45,0,0.11,0,normal
tcp,SF,1120,2259,0,100,0,0,0,normal
tcp,SF,946,2614,0,100,0,0,0,normal
tcp,OTH,66,4497,0,47,0,0.12,0,normal
tcp,SF,946,3168,0,100,0,0,0,normal
tcp,SF,958,2435,0,86,0,0,0,normal
tcp,SF,946,2706,0,89,0,0,0,normal
tcp,OTH,66,2824,0,50,0,0.02,0,normal
tcp,SF,946,636,0,100,0,0,0,normal
tcp,S1,74,2688,0,100,0,0,0,normal
tcp,OTH,66,3160,0,47,0,0.02,0,normal
tcp,OTH,66,5842,0,50,0,0.08,0,normal
tcp,SF,946,3181,0,100,0,0,0,normal
tcp,OTH,66,2962,0,46,0,0.06,0,normal
tcp,SF,946,2569,0,100,0,0,0,normal
tcp,SF,946,2003,0,100,0,0,0,normal
tcp,OTH,66,3337,0,74,0,0.07,0,normal
tcp,SF,946,3051,0,98,0,0,0,normal
tcp,OTH,146,2831,0,68,0,0,0,normal
tcp,OTH,66,2529,0,44,0,0.02,0,normal
tcp,SF,946,4042,0,100,0,0,0,normal
tcp,SF,1024,3084,0,90,0,0,0,normal
tcp,OTH,66,3402,0,51,0,0.02,0,normal
tcp,SF,946,2353,0,88,0,0,0,normal
tcp,SF,946,3452,0,65,0,0,0,normal
tcp,OTH,66,5952,0,50,0,0.12,0,normal
tcp,SF,880,2246,0,100,0,0,0,normal
tcp,SF,946,3876,0,100,0,0,0,normal
tcp,SF,946,1344,0,100,0,0,0,normal
tcp,SF,946,2549,0,100,0,0,0,normal
tcp,SF,946,1932,0,100,0,0,0,normal
tcp,SF,946,3944,0,100,0,0,0,normal
tcp,SF,946,2182,0,98,0,0,0,normal
tcp,OTH,66,3272,0,49,0,0.06,0,normal
tcp,OTH,66,4674,0,53,0,0.13,0,normal
tcp,OTH,66,5914,0,44,0,0.16,0,normal
tcp,OTH,66,3498,0,51,0,0.13,0,normal
tcp,SF,880,566,0,97,0,0,0,normal
tcp,SF,946,2435,0,98,0,0,0,normal
tcp,OTH,146,5678,0,21,0,0,0,normal
tcp,OTH,66,2884,0,42,0,0.12,0,normal
tcp,SF,946,3338,0,91,0,0,0,normal
tcp,SF,946,1747,0,100,0,0,0,normal
tcp,SF,946,3372,0,100,0,0,0,normal
tcp,OTH,66,2671,0,52,0,0.15,0,normal
tcp,OTH,66,1495,0,69,0,0,0,normal
tcp,OTH,66,3291,0,44,0,0.04,0,normal
tcp,OTH,66,3153,0,56,0,0.05,0,normal
tcp,SF,946,2218,0,100,0,0,0,normal
tcp,OTH,66,2999,0,49,0,0.02,0,normal
tcp,SF,946,2386,0,100,0,0,0,normal
tcp,OTH,66,3159,0,57,0,0,0,normal
tcp,OTH,66,5058,0,42,0,0.16,0,normal
tcp,OTH,66,3525,0,48,0,0,0,normal
tcp,OTH,66,4960,0,38,0,0.1,0,normal
tcp,SF,946,3083,0,100,0,0,0,normal
tcp,OTH,66,2840,0,55,0,0.05,0,normal
tcp,SF,1024,3178,0,87,0,0,0,normal
tcp,SF,946,1969,0,100,0,0,0,normal
tcp,OTH,66,5129,0,69,0,0,0,normal
tcp,OTH,66,3283,0,46,0,0.13,0,normal
tcp,SF,1120,1512,0,100,0,0,0,normal
tcp,OTH,66,5246,0,72,0,0.07,0,normal
tcp,OTH,66,3287,0,34,0,0.17,0,normal
tcp,OTH,66,3905,0,80,0,0.06,0,normal
tcp,OTH,66,3849,0,45,0,0,0,normal
tcp,SF,946,1998,0,100,0,0,0,normal
tcp,OTH,66,2729,0,48,0,0.02,0,normal
tcp,OTH,146,4862,0,46,0,0.02,0,normal
tcp,OTH,66,2700,0,45,0,0.11,0,normal
tcp,SF,946,2211,0,100,0,0,0,normal
tcp,SF,946,5668,0,72,0,0,0,normal
tcp,S1,74,2677,0,100,0,0,0,normal
tcp,SF,946,467,0,100,0,0,0,normal
tcp,OTH,66,5364,0,96,0,0.04,0,normal
tcp,OTH,78,3393,0,99,0,0.01,0,normal
tcp,SF,946,2081,0,88,0,0,0,normal
tcp,SF,946,1835,0,100,0,0,0,normal
tcp,OTH,66,2985,0,71,0,0.04,0,normal
tcp,SF,946,3886,0,100,0,0,0,normal
tcp,OTH,66,2344,0,68,0,0,0,normal
tcp,SF,946,2150,0,100,0,0,0,normal
tcp,SF,1020,1444,0,100,0,0,0,normal
tcp,SF,946,3513,0,100,0,0,0,normal
tcp,OTH,66,2431,0,52,0,0.02,0,normal
tcp,SF,946,2109,0,100,0,0,0,normal
tcp,OTH,66,5880,0,48,0,0,0,normal
tcp,SF,946,2435,0,100,0,0,0,normal
tcp,OTH,146,4911,0,48,0,0.02,0,normal
tcp,SF,1012,2266,0,100,0,0,0,normal
tcp,SF,982,1655,0,100,0,0,0,normal
tcp,OTH,66,4961,0,54,0,0.02,0,normal
tcp,OTH,66,3057,0,55,0,0,0,normal
tcp,SF,946,3010,0,100,0,0,0,normal
tcp,OTH,66,2670,0,50,0,0.02,0,normal
tcp,OTH,66,4837,0,57,0,0,0,normal
tcp,SF,946,1749,0,100,0,0,0,normal
tcp,OTH,66,3397,0,46,0,0.06,0,normal
tcp,OTH,146,5154,0,51,0,0.02,0,normal
tcp,OTH,66,5787,0,13,0,0,0,normal
tcp,OTH,78,5743,0,65,0,0.08,0,normal
tcp,SF,946,899,0,99,0,0,0,normal
tcp,SF,1024,2726,0,72,0,0,0,normal
tcp,SF,946,1019,0,100,0,0,0,normal
tcp,SF,946,3346,0,93,0,0,0,normal
tcp,SF,352,3172,0,87,0,0,0,normal
tcp,SF,946,2913,0,98,0,0,0,normal
tcp,SF,946,3296,0,100,0,0,0,normal
tcp,SF,946,3533,0,100,0,0,0,normal
tcp,OTH,146,2498,0,37,0,0.03,0,normal
tcp,SF,946,2255,0,100,0,0,0,normal
tcp,SF,946,2205,0,100,0,0,0,normal
tcp,SF,946,2149,0,100,0,0,0,normal
tcp,SF,946,1429,0,100,0,0,0,normal
tcp,SF,946,2860,0,100,0,0,0,normal
tcp,OTH,66,5778,0,43,0,0.11,0,normal
tcp,OTH,66,4955,0,57,0,0.02,0,normal
tcp,SF,946,2243,0,100,0,0,0,normal
tcp,OTH,66,3140,0,39,0,0,0,normal
tcp,OTH,78,5813,0,50,0,0.08,0,normal
tcp,S3,880,1674,0,100,0,0,0,normal
tcp,SF,1024,3832,0,54,0,0,0,normal
tcp,OTH,66,4935,0,45,0,0.11,0,normal
tcp,SF,946,3062,0,24,0,0,0,normal
tcp,OTH,78,5701,0,45,0,0,0,normal
tcp,SF,946,2599,0,100,0,0,0,normal
tcp,SF,946,2968,0,63,0,0,0,normal
tcp,SF,880,3348,0,93,0,0,0,normal
tcp,S1,218,2462,0,100,0,0,0,normal
tcp,OTH,66,3430,0,47,0,0.08,0,normal
tcp,OTH,66,3142,0,50,0,0.02,0,normal
tcp,OTH,66,4051,0,99,0,0.08,0,normal
tcp,OTH,78,5515,0,81,0,0,0,normal
tcp,SF,946,1939,0,100,0,0,0,normal
tcp,OTH,66,3286,0,69,0,0,0,normal
tcp,SF,946,3042,0,88,0,0,0,normal
tcp,OTH,66,3483,0,60,0,0,0,normal
tcp,OTH,66,3201,0,49,0,0.06,0,normal
tcp,OTH,78,4813,0,44,0,0,0,normal
tcp,OTH,146,2521,0,44,0,0.02,0,normal
tcp,OTH,66,2494,0,34,0,0,0,normal
tcp,SF,946,2222,0,100,0,0,0,normal
tcp,OTH,146,2618,0,41,0,0,0,normal
tcp,SF,1120,2613,0,100,0,0,0,normal
tcp,OTH,66,4192,0,45,0,0.13,0,normal
tcp,SF,946,2225,0,100,0,0,0,normal
tcp,S1,74,2830,0,100,0,0,0,normal
tcp,SF,946,2515,0,94,0,0,0,normal
tcp,SF,946,3521,0,100,0,0,0,normal
tcp,SF,946,1525,0,100,0,0,0,normal
tcp,SF,946,2222,0,100,0,0,0,normal
tcp,SF,880,2201,0,100,0,0,0,normal
tcp,SF,946,2228,0,100,0,0,0,normal
tcp,OTH,66,2903,0,49,0,0.14,0,normal
tcp,SF,946,1899,0,100,0,0,0,normal
tcp,SF,946,4252,0,73,0,0,0,normal
tcp,SF,946,2155,0,98,0,0,0,normal
tcp,SF,946,3998,0,95,0,0,0,normal
tcp,SF,946,1140,0,100,0,0,0,normal
tcp,SF,1024,2725,0,72,0,0,0,normal
tcp,SF,946,2012,0,100,0,0,0,normal
tcp,OTH,66,2883,0,45,0,0,0,normal
tcp,SF,946,4468,0,55,0,0,0,normal
tcp,OTH,66,3848,0,44,0,0.18,0,normal
tcp,OTH,66,3031,0,58,0,0,0,normal
tcp,SF,946,2250,0,100,0,0,0,normal
tcp,SF,946,3348,0,96,0,0,0,normal
tcp,OTH,66,3393,0,42,0,0,0,normal
tcp,OTH,66,4874,0,57,0,0.16,0,normal
tcp,OTH,66,4042,0,44,0,0.2,0,normal
tcp,SF,946,2062,0,100,0,0,0,normal
tcp,SF,946,3916,0,69,0,0,0,normal
tcp,SF,946,2157,0,100,0,0,0,normal
tcp,SF,946,2853,0,63,0,0,0,normal
tcp,OTH,66,6211,0,52,0,0,0,normal
tcp,OTH,66,3146,0,41,0,0.12,0,normal
tcp,S1,286,1611,0,100,0,0,0,normal
tcp,SF,946,2026,0,100,0,0,0,normal
tcp,OTH,66,3299,0,36,0,0.03,0,normal
tcp,SF,946,2189,0,41,0,0,0,normal
tcp,OTH,66,2953,0,38,0,0,0,normal
tcp,SF,946,1827,0,100,0,0,0,normal
tcp,SF,946,1931,0,100,0,0,0,normal
tcp,SF,946,2050,0,100,0,0,0,normal
tcp,SF,946,2130,0,100,0,0,0,normal
tcp,OTH,66,3343,0,49,0,0.06,0,normal
tcp,SF,1012,2040,0,100,0,0,0,normal
tcp,OTH,66,2726,0,42,0,0.09,0,normal
tcp,SF,946,1940,0,100,0,0,0,normal
tcp,OTH,66,4974,0,28,0,0,0,normal
tcp,SF,946,2390,0,98,0,0,0,normal
tcp,OTH,66,3393,0,52,0,0.15,0,normal
tcp,OTH,66,2830,0,45,0,0.09,0,normal
tcp,SF,946,1851,0,100,0,0,0,normal
tcp,SF,946,2071,0,100,0,0,0,normal
tcp,SF,1078,1182,0,100,0,0,0,normal
tcp,OTH,66,6119,0,38,0,0.23,0,normal
tcp,SF,946,2044,0,100,0,0,0,normal
tcp,OTH,66,3883,0,70,0,0.01,0,normal
tcp,OTH,78,4238,0,95,0,0.01,0,normal
tcp,OTH,66,4992,0,40,0,0.05,0,normal
tcp,OTH,66,4886,0,52,0,0.09,0,normal
tcp,S1,286,2736,0,100,0,0,0,normal
tcp,OTH,66,3954,0,58,0,0.12,0,normal
tcp,SF,1024,3299,0,75,0,0,0,normal
tcp,SF,1120,2254,0,100,0,0,0,normal
tcp,SF,880,2311,0,100,0,0,0,normal
tcp,S3,880,3098,0,100,0,0,0,normal
tcp,SF,946,1140,0,100,0,0,0,normal
tcp,SF,946,1906,0,92,0,0,0,normal
tcp,SF,880,2307,0,100,0,0,0,normal
tcp,OTH,66,2133,0,48,0,0,0,normal
tcp,SF,946,3889,0,98,0,0,0,normal
tcp,OTH,78,5592,0,75,0,0.01,0,normal
tcp,OTH,66,2925,0,29,0,0.03,0,normal
tcp,OTH,146,2598,0,69,0,0.01,0,normal
tcp,OTH,66,2016,0,47,0,0.02,0,normal
tcp,SF,946,2358,0,63,0,0,0,normal
tcp,OTH,66,3076,0,43,0,0.16,0,normal
tcp,OTH,66,2506,0,50,0,0.08,0,normal
tcp,SF,946,2282,0,100,0,0,0,normal
tcp,OTH,78,5702,0,45,0,0,0,normal
tcp,OTH,66,4954,0,46,0,0.02,0,normal
tcp,SF,946,3207,0,100,0,0,0,normal
tcp,SF,946,2386,0,100,0,0,0,normal
tcp,SF,946,2367,0,100,0,0,0,normal
tcp,SF,946,2989,0,98,0,0,0,normal
tcp,OTH,66,5178,0,58,0,0,0,normal
tcp,OTH,66,2719,0,52,0,0.02,0,normal
tcp,OTH,66,5330,0,86,0,0.08,0,normal
tcp,SF,946,2205,0,100,0,0,0,normal
tcp,SF,946,3295,0,71,0,0,0,normal
tcp,SF,880,2400,0,85,0,0,0,normal
tcp,SF,946,592,0,100,0,0,0,normal
tcp,SF,946,2012,0,100,0,0,0,normal
tcp,SF,1120,591,0,100,0,0,0,normal
tcp,OTH,66,3197,0,49,0,0.18,0,normal
tcp,SF,946,2790,0,98,0,0,0,normal
tcp,SF,946,795,0,100,0,0,0,normal
tcp,SF,946,2492,0,100,0,0,0,normal
tcp,SF,946,1948,0,100,0,0,0,normal
tcp,SF,946,3349,0,100,0,0,0,normal
tcp,OTH,66,6272,0,47,0,0.06,0,normal
tcp,OTH,66,3330,0,44,0,0.11,0,normal
tcp,SF,946,3026,0,68,0,0,0,normal
tcp,SF,1042,2321,0,100,0,0,0,normal
tcp,SF,1120,2619,0,100,0,0,0,normal
tcp,OTH,66,5859,0,52,0,0.08,0,normal
tcp,SF,946,1834,0,100,0,0,0,normal
tcp,OTH,66,4301,0,51,0,0,0,normal
tcp,SF,946,1885,0,100,0,0,0,normal
tcp,SF,734,3015,0,47,0,0,0,normal
tcp,SF,946,2316,0,100,0,0,0,normal
tcp,OTH,66,3615,0,38,0,0.05,0,normal
tcp,OTH,66,3076,0,43,0,0.02,0,normal
tcp,SF,946,1865,0,94,0,0,0,normal
tcp,OTH,66,4913,0,78,0,0.08,0,normal
tcp,OTH,66,4416,0,43,0,0,0,normal
tcp,SF,946,4231,0,95,0,0,0,normal
tcp,OTH,66,4746,0,42,0,0,0,normal
tcp,SF,946,2531,0,100,0,0,0,normal
tcp,OTH,66,5982,0,32,0,0.15,0,normal
tcp,OTH,66,2864,0,50,0,0.14,0,normal
tcp,SF,946,3539,0,100,0,0,0,normal
tcp,S2,1024,3615,0,100,0,0,0,normal
tcp,SF,946,1973,0,100,0,0,0,normal
tcp,SF,946,2337,0,78,0,0,0,normal
tcp,OTH,66,5109,0,42,0,0.12,0,normal
tcp,OTH,66,3268,0,35,0,0.17,0,normal
tcp,OTH,66,5784,0,41,0,0.05,0,normal
tcp,SF,946,3428,0,95,0,0,0,normal
tcp,SF,946,2778,0,100,0,0,0,normal
tcp,S1,140,2986,0,100,0,0,0,normal
tcp,OTH,66,4679,0,32,0,0.09,0,normal
tcp,OTH,66,2999,0,45,0,0,0,normal
tcp,SF,946,2285,0,100,0,0,0,normal
tcp,SF,1024,2786,0,89,0,0,0,normal
tcp,OTH,66,3358,0,48,0,0.12,0,normal
tcp,SF,946,1479,0,100,0,0,0,normal
tcp,OTH,66,2905,0,49,0,0.04,0,normal
tcp,OTH,66,3850,0,49,0,0.08,0,normal
tcp,OTH,66,2766,0,47,0,0.12,0,normal
tcp,SF,1024,3017,0,55,0,0,0,normal
tcp,OTH,66,3945,0,18,0,0,0,normal
tcp,OTH,66,2142,0,52,0,0.15,0,normal
tcp,SF,946,2021,0,86,0,0,0,normal
tcp,OTH,66,4980,0,33,0,0,0,normal
tcp,OTH,66,5076,0,25,0,0,0,normal
tcp,SF,946,2533,0,100,0,0,0,normal
tcp,OTH,66,4883,0,48,0,0,0,normal
tcp,SF,946,2114,0,100,0,0,0,normal
tcp,OTH,78,5993,0,50,0,0.04,0,normal
tcp,SF,946,3098,0,85,0,0,0,normal
tcp,OTH,66,5510,0,100,0,0,0,normal
tcp,RSTR,286,3342,0,100,0,0,0,normal
tcp,OTH,146,3316,0,47,0,0.02,0,normal
tcp,SF,946,1548,0,100,0,0,0,normal
tcp,OTH,66,3185,0,43,0,0.14,0,normal
tcp,SF,946,1943,0,100,0,0,0,normal
tcp,OTH,146,3535,0,45,0,0,0,normal
tcp,OTH,66,4059,0,37,0,0,0,normal
tcp,OTH,66,5084,0,42,0,0.02,0,normal
tcp,OTH,66,4937,0,59,0,0,0,normal
tcp,OTH,146,4073,0,34,0,0.03,0,normal
tcp,SF,946,2413,0,100,0,0,0,normal
tcp,SF,946,2251,0,100,0,0,0,normal
tcp,SF,946,1926,0,100,0,0,0,normal
tcp,OTH,66,5701,0,31,0,0.25,0,normal
tcp,OTH,66,3261,0,47,0,0.15,0,normal
tcp,OTH,66,3948,0,68,0,0.09,0,normal
tcp,OTH,66,5147,0,49,0,0.1,0,normal
tcp,SF,946,2139,0,100,0,0,0,normal
tcp,SF,880,2043,0,100,0,0,0,normal
tcp,SF,946,1950,0,99,0,0,0,normal
tcp,SF,946,1953,0,100,0,0,0,normal
tcp,SF,946,2249,0,100,0,0,0,normal
tcp,SF,946,2003,0,100,0,0,0,normal
tcp,OTH,66,5943,0,52,0,0.15,0,normal
tcp,OTH,66,3758,0,40,0,0.02,0,normal
tcp,S3,286,1757,0,100,0,0,0,normal
tcp,OTH,66,2956,0,42,0,0,0,normal
tcp,OTH,66,6323,0,51,0,0.06,0,normal
tcp,OTH,66,5023,0,46,0,0.15,0,normal
tcp,S2,352,2883,0,100,0,0,0,normal
tcp,SF,946,1248,0,100,0,0,0,normal
tcp,SF,946,3356,0,100,0,0,0,normal
tcp,OTH,66,2477,0,52,0,0.06,0,normal
tcp,SF,1024,2784,0,89,0,0,0,normal
tcp,OTH,66,4441,0,49,0,0.1,0,normal
tcp,OTH,66,2520,0,48,0,0,0,normal
tcp,SF,946,1866,0,100,0,0,0,normal
tcp,SF,946,1944,0,100,0,0,0,normal
tcp,OTH,66,4742,0,52,0,0.08,0,normal
tcp,SF,946,2210,0,100,0,0,0,normal
tcp,SF,946,2141,0,100,0,0,0,normal
tcp,OTH,66,3065,0,40,0,0.17,0,normal
tcp,SF,946,2122,0,100,0,0,0,normal
tcp,OTH,66,5910,0,53,0,0.04,0,normal
tcp,SF,946,1144,0,100,0,0,0,normal
tcp,SF,946,2119,0,100,0,0,0,normal
tcp,SF,946,2323,0,47,0,0,0,normal
tcp,SF,946,2750,0,100,0,0,0,normal
tcp,OTH,66,3114,0,83,0,0.08,0,normal
tcp,SF,946,3028,0,100,0,0,0,normal
tcp,S1,286,1665,0,100,0,0,0,normal
tcp,SF,946,2187,0,100,0,0,0,normal
tcp,OTH,66,3069,0,85,0,0,0,normal
tcp,OTH,66,3493,0,48,0,0.18,0,normal
tcp,SF,946,1583,0,100,0,0,0,normal
tcp,SF,946,2122,0,100,0,0,0,normal
tcp,SF,946,2330,0,100,0,0,0,normal
tcp,S1,140,2264,0,100,0,0,0,normal
tcp,SF,880,2711,0,78,0,0,0,normal
tcp,OTH,66,3383,0,52,0,0.08,0,normal
tcp,SF,946,2179,0,98,0,0,0,normal
tcp,SF,946,2943,0,100,0,0,0,normal
tcp,SF,946,999,0,100,0,0,0,normal
tcp,OTH,146,3546,0,52,0,0.02,0,normal
tcp,SF,1048,2034,0,100,0,0,0,normal
tcp,RSTR,1086,1530,0,90,0,0,0,normal
tcp,SF,1024,2780,0,100,0,0,0,normal
tcp,SF,1024,2685,0,100,0,0,0,normal
tcp,SF,946,2533,0,100,0,0,0,normal
tcp,OTH,66,2789,0,46,0,0.02,0,normal
tcp,SF,946,2321,0,100,0,0,0,normal
tcp,SF,946,2167,0,99,0,0,0,normal
tcp,SF,880,2080,0,88,0,0,0,normal
tcp,SF,946,3088,0,100,0,0,0,normal
tcp,OTH,146,4355,0,80,0,0.01,0,normal
tcp,OTH,66,3005,0,56,0,0,0,normal
tcp,SF,880,3372,0,65,0,0,0,normal
tcp,OTH,66,5974,0,42,0,0.19,0,normal
tcp,SF,946,2187,0,100,0,0,0,normal
tcp,SF,946,281,0,100,0,0,0,normal
tcp,OTH,66,5917,0,64,0,0.03,0,normal
tcp,SF,880,1886,0,99,0,0,0,normal
tcp,SF,946,2753,0,100,0,0,0,normal
tcp,SF,946,3368,0,100,0,0,0,normal
tcp,SF,946,3909,0,100,0,0,0,normal
tcp,SF,880,2621,0,100,0,0,0,normal
tcp,OTH,66,3144,0,100,0,0.01,0,normal
tcp,SF,1120,1723,0,100,0,0,0,normal
tcp,OTH,66,5463,0,100,0,0.01,0,normal
tcp,OTH,66,3743,0,52,0,0.11,0,normal
tcp,OTH,66,5044,0,46,0,0,0,normal
tcp,SF,946,3301,0,100,0,0,0,normal
tcp,SF,946,3345,0,96,0,0,0,normal
tcp,SF,430,3117,0,86,0,0,0,normal
tcp,S3,958,3754,0,100,0,0,0,normal
tcp,OTH,66,4363,0,48,0,0.06,0,normal
tcp,OTH,66,3868,0,46,0,0.13,0,normal
tcp,SF,946,2015,0,100,0,0,0,normal
tcp,SF,880,2216,0,100,0,0,0,normal
tcp,OTH,66,5011,0,47,0,0.06,0,normal
tcp,SF,946,2041,0,100,0,0,0,normal
tcp,OTH,66,3360,0,50,0,0.16,0,normal
tcp,OTH,66,5902,0,56,0,0,0,normal
tcp,OTH,66,3255,0,38,0,0.08,0,normal
tcp,OTH,66,2952,0,42,0,0.14,0,normal
tcp,OTH,66,5891,0,45,0,0,0,normal
tcp,SF,946,2202,0,100,0,0,0,normal
tcp,RSTR,364,1912,0,100,0,0,0,normal
tcp,SF,946,1241,0,100,0,0,0,normal
tcp,OTH,66,3721,0,50,0,0.02,0,normal
tcp,OTH,66,6276,0,50,0,0.12,0,normal
tcp,OTH,66,1889,0,45,0,0.04,0,normal
tcp,OTH,66,4318,0,53,0,0,0,normal
tcp,OTH,66,5082,0,31,0,0.19,0,normal
tcp,OTH,78,3876,0,100,0,0.01,0,normal
tcp,SF,352,1912,0,68,0,0,0,normal
tcp,SF,946,2306,0,100,0,0,0,normal
tcp,OTH,66,5909,0,50,0,0.08,0,normal
tcp,SF,946,1906,0,100,0,0,0,normal
tcp,SF,1024,2214,0,100,0,0,0,normal
tcp,OTH,66,3217,0,47,0,0,0,normal
tcp,SF,946,4263,0,64,0,0,0,normal
tcp,OTH,66,3013,0,43,0,0.14,0,normal
tcp,SF,946,1945,0,100,0,0,0,normal
tcp,OTH,66,3030,0,45,0,0.17,0,normal
tcp,SF,946,105,0,100,0,0,0,normal
tcp,SF,880,3219,0,98,0,0,0,normal
tcp,OTH,66,3616,0,44,0,0,0,normal
