% isAttack highrate:	1705
% isAttack lowrate:	2000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.Remove'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {highrate,lowrate}

@data
0,udp,OTH,60,0,0,0,86,86,0,0,0,0,1,0,0,40,40,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,108,108,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,140,140,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,160,160,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,92,92,0,0,0,0,1,0,0,42,42,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,111,111,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,104,104,0,0,0,0,1,0,0,39,39,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,95,95,0,0,0,0,1,0,0,42,42,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,112,112,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,141,141,0,0,0,0,1,0,0,26,26,1,0,0.96,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,99,99,0,0,0,0,1,0,0,41,41,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,110,110,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,143,143,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,160,160,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,85,85,0,0,0,0,1,0,0,40,40,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,141,141,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,109,109,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,137,137,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,12,12,0,0,0,0,1,0,0,12,12,1,0,0.92,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,136,136,0,0,0,0,1,0,0,10,10,1,0,0.91,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,138,138,0,0,0,0,1,0,0,21,21,1,0,0.95,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,149,149,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,114,114,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,153,153,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,114,114,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,145,145,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,121,121,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,150,150,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,106,106,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,120,120,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,29,29,0,0,0,0,1,0,0,26,26,1,0,0.96,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,116,116,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,84,84,0,0,0,0,1,0,0,41,41,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,86,86,0,0,0,0,1,0,0,42,42,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,102,102,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,78,78,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,69,69,0,0,0,0,1,0,0,27,27,1,0,0.96,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,3,3,0,0,0,0,1,0,0,3,3,1,0,0.75,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,14,14,0,0,0,0,1,0,0,14,14,1,0,0.93,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,107,107,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,165,165,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,112,112,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,106,106,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,110,110,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,23,23,0,0,0,0,1,0,0,23,23,1,0,0.96,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,102,102,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,131,131,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,125,125,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,26,26,0,0,0,0,1,0,0,26,26,1,0,0.96,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,77,77,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,109,109,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,118,118,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,100,100,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,117,117,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,138,138,0,0,0,0,1,0,0,12,12,1,0,0.92,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,160,160,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,121,121,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,55,55,0,0,0,0,1,0,0,24,24,1,0,0.96,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,125,125,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,46,46,0,0,0,0,1,0,0,21,21,1,0,0.95,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,107,107,0,0,0,0,1,0,0,38,38,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,108,108,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,21,21,0,0,0,0,1,0,0,21,21,1,0,0.95,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,114,114,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,143,143,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,112,112,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,159,159,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,145,145,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,85,85,0,0,0,0,1,0,0,40,40,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,5,5,0,0,0,0,1,0,0,5,5,1,0,0.83,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,121,121,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,141,141,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,109,109,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,156,156,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,159,159,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,114,114,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,84,84,0,0,0,0,1,0,0,40,40,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,121,121,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,153,153,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,85,85,0,0,0,0,1,0,0,42,42,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,153,153,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,103,103,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,164,164,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,139,139,0,0,0,0,1,0,0,20,20,1,0,0.95,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0.5,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,104,104,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,141,141,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,138,138,0,0,0,0,1,0,0,16,16,1,0,0.94,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,141,141,0,0,0,0,1,0,0,21,21,1,0,0.95,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,141,141,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,144,144,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,112,112,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,138,138,0,0,0,0,1,0,0,12,12,1,0,0.92,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,111,111,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,114,114,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,123,123,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,130,130,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,114,114,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,90,90,0,0,0,0,1,0,0,42,42,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,137,137,0,0,0,0,1,0,0,20,20,1,0,0.95,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,105,105,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,92,92,0,0,0,0,1,0,0,42,42,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,107,107,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,113,113,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,117,117,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,112,112,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,111,111,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,145,145,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,91,91,0,0,0,0,1,0,0,42,42,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,141,141,0,0,0,0,1,0,0,23,23,1,0,0.96,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,99,99,0,0,0,0,1,0,0,42,42,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,109,109,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,108,108,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,100,100,0,0,0,0,1,0,0,42,42,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,78,78,0,0,0,0,1,0,0,43,43,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,103,103,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,108,108,0,0,0,0,1,0,0,40,40,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,135,135,0,0,0,0,1,0,0,18,18,1,0,0.95,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,125,125,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,82,82,0,0,0,0,1,0,0,40,40,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,108,108,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,52,52,0,0,0,0,1,0,0,24,24,1,0,0.96,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,142,142,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,33,33,0,0,0,0,1,0,0,30,30,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,27,27,0,0,0,0,1,0,0,27,27,1,0,0.96,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,161,161,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,162,162,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,110,110,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,108,108,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,139,139,0,0,0,0,1,0,0,17,17,1,0,0.94,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,119,119,0,0,0,0,1,0,0,35,35,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,108,108,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,151,151,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,102,102,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,106,106,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,82,82,0,0,0,0,1,0,0,42,42,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,153,153,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,142,142,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,108,108,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,101,101,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,118,118,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,103,103,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,105,105,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,18,18,0,0,0,0,1,0,0,18,18,1,0,0.95,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,109,109,0,0,0,0,1,0,0,40,40,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,151,151,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,114,114,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,113,113,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,106,106,0,0,0,0,1,0,0,39,39,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,121,121,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,117,117,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,105,105,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,111,111,0,0,0,0,1,0,0,34,34,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,41,41,0,0,0,0,1,0,0,36,36,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,86,86,0,0,0,0,1,0,0,40,40,1,0,0.98,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,66,66,0,0,0,0,1,0,0,26,26,1,0,0.96,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,116,116,0,0,0,0,1,0,0,33,33,1,0,0.97,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,6,6,0,0,0,0,1,0,0,6,6,1,0,0.86,0,0,0,0,0,highrate
0,udp,OTH,60,0,0,0,138,138,0,0,0,0,1,0,0,15,15,1,0,0.94,0,0,0,0,0,highrate
